,volume,balance_avg,hours,weeks,velocity_cnv,duration_avg_min,duration_avg_max,velocity_inv_min,velocity_inv_max,balance_eff_min,balance_eff_max,balance_frc_min,balance_frc_max,Nairobi,volume>8wk_min,volume>4wk_min,volume>1wk_min,volume>1dy_min,volume>8wk_max,volume>4wk_max,volume>1wk_max,volume>1dy_max,Kilifi,Mombasa,Kinango Kwale,Other Rural
all,302468064.99800014,13547008.260920884,12155.0,72.35119047619047,0.3085961125761048,1.3602613358726798,1.3603431530947723,0.7351528516088027,0.7351086361738993,5686646.08619537,5686988.127517522,0.4197713603378883,0.41979660881456776,,,,,,,,,,,,,
Nairobi,200054911.29899997,5417728.022676631,12155.0,72.35119047619047,36.92597901955269,0.6554303030507045,0.6554886310823854,1.5257152367620077,1.5255794724444496,1812299.8429809576,1812461.1231081733,0.3345128872094229,0.33454265616913087,,2952097.522629,8487365.832436,26375000.507564988,74355436.14524695,2952504.991515999,8487773.935914002,26375409.185854018,74355844.823536,,,,
Kilifi,962317.5,169203.50465895777,12155.0,72.35119047619047,5.687337871278863,2.568387448871341,2.568490832674278,0.3893493563206138,0.38933368469873547,34161.209685175934,34162.58475643777,0.2018942205365686,0.20190234726694933,,99182.28972100001,181384.938668,378372.62449500005,523409.781398,99184.31761199998,181386.991789,378374.677616,523411.83451899997,,,,
Mombasa,915684.05,333496.8007306651,12155.0,72.35119047619047,2.7457056499307004,3.54106930463275,3.54158202679471,0.2824005728133332,0.28235968909776876,44816.13448038359,44822.623544387905,0.13438250196762003,0.1344019596175588,,129979.29743500001,208703.05476000006,383720.406741,686084.7545509997,129986.42004899996,208710.177374,383727.529355,686091.8771649998,,,,
Kinango Kwale,98494598.834,7341833.132295155,12155.0,72.35119047619047,13.415532205539147,2.7413147310459562,2.7414290124992355,0.3647884676191293,0.3647732607485414,3731862.501985506,3732018.077945222,0.5083011878286692,0.5083223781713142,,10407310.598992994,19000188.153917994,45940559.44757698,76897229.82668199,10407650.977678007,19000532.569678996,45940904.823712975,76897575.20281799,,,,
Other Rural,2040553.315,284740.2365940312,12155.0,72.35119047619047,7.166367983002422,2.2518228721023843,2.2523254517186815,0.44408466242567446,0.443985570218962,63509.17788938753,63523.352369383465,0.22304251288494864,0.22309229327484184,,192784.68450699997,339209.47146900004,721545.8761640001,1324843.7490570003,192807.92561500001,339232.712577,721569.1172720002,1324866.9901650005,,,,
