Week,Week,volume,balance_avg,hours,weeks,week,velocity_cnv,duration_avg_min,duration_avg_max,velocity_inv_min,velocity_inv_max,balance_eff_min,balance_eff_max,balance_frc_min,balance_frc_max,volume: Nairobi,balance_avg: Nairobi,velocity_cnv: Nairobi,duration_avg_min: Nairobi,velocity_inv_min: Nairobi,balance_eff_min: Nairobi,volume>8wk_min: Nairobi,volume>4wk_min: Nairobi,volume>1wk_min: Nairobi,volume>1dy_min: Nairobi,duration_avg_max: Nairobi,velocity_inv_max: Nairobi,balance_eff_max: Nairobi,volume>8wk_max: Nairobi,volume>4wk_max: Nairobi,volume>1wk_max: Nairobi,volume>1dy_max: Nairobi,volume: Kilifi,balance_avg: Kilifi,velocity_cnv: Kilifi,duration_avg_min: Kilifi,velocity_inv_min: Kilifi,balance_eff_min: Kilifi,volume>8wk_min: Kilifi,volume>4wk_min: Kilifi,volume>1wk_min: Kilifi,volume>1dy_min: Kilifi,duration_avg_max: Kilifi,velocity_inv_max: Kilifi,balance_eff_max: Kilifi,volume>8wk_max: Kilifi,volume>4wk_max: Kilifi,volume>1wk_max: Kilifi,volume>1dy_max: Kilifi,volume: Mombasa,balance_avg: Mombasa,velocity_cnv: Mombasa,duration_avg_min: Mombasa,velocity_inv_min: Mombasa,balance_eff_min: Mombasa,volume>8wk_min: Mombasa,volume>4wk_min: Mombasa,volume>1wk_min: Mombasa,volume>1dy_min: Mombasa,duration_avg_max: Mombasa,velocity_inv_max: Mombasa,balance_eff_max: Mombasa,volume>8wk_max: Mombasa,volume>4wk_max: Mombasa,volume>1wk_max: Mombasa,volume>1dy_max: Mombasa,volume: Kinango Kwale,balance_avg: Kinango Kwale,velocity_cnv: Kinango Kwale,duration_avg_min: Kinango Kwale,velocity_inv_min: Kinango Kwale,balance_eff_min: Kinango Kwale,volume>8wk_min: Kinango Kwale,volume>4wk_min: Kinango Kwale,volume>1wk_min: Kinango Kwale,volume>1dy_min: Kinango Kwale,duration_avg_max: Kinango Kwale,velocity_inv_max: Kinango Kwale,balance_eff_max: Kinango Kwale,volume>8wk_max: Kinango Kwale,volume>4wk_max: Kinango Kwale,volume>1wk_max: Kinango Kwale,volume>1dy_max: Kinango Kwale,volume: Other Rural,balance_avg: Other Rural,velocity_cnv: Other Rural,duration_avg_min: Other Rural,velocity_inv_min: Other Rural,balance_eff_min: Other Rural,volume>8wk_min: Other Rural,volume>4wk_min: Other Rural,volume>1wk_min: Other Rural,volume>1dy_min: Other Rural,duration_avg_max: Other Rural,velocity_inv_max: Other Rural,balance_eff_max: Other Rural,volume>8wk_max: Other Rural,volume>4wk_max: Other Rural,volume>1wk_max: Other Rural,volume>1dy_max: Other Rural
2020-03,2020-03,0.0,29874.658577879076,5,0.029761904761904764,2020-01-19,0.0,,,,,,,,,0.0,4495.932576319984,0.0,,,,,,,,,,,,,,,0.0,25378.72600155909,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
2020-04,2020-04,348212.5,3276001.662412906,168,1.0,2020-01-26,0.10629191797892056,0.29530359586792415,0.29530359586792415,3.3863454898370233,3.3863454898370233,102828.40337615953,102828.40337615953,0.031388385590873695,0.031388385590873695,81054.0,922785.9919617875,0.08783618380214471,0.2585287749442434,3.868041382301327,20954.79132433071,0.0,0.0,0.0,40304.073083,0.2585287749442434,3.868041382301327,20954.79132433071,0.0,0.0,0.0,40304.073083,646.5,155077.2539421282,0.00416888991496626,0.4532177458606366,2.2064449354273465,293.0052726989016,0.0,0.0,0.0,489.981014,0.4532177458606366,2.2064449354273465,293.0052726989016,0.0,0.0,0.0,489.981014,5054.0,188361.23446698464,0.02683142321880381,0.4225971219360781,2.366319948935335,2135.805854264939,0.0,0.0,0.0,3568.55899,0.4225971219360781,2.366319948935335,2135.805854264939,0.0,0.0,0.0,3568.55899,261458.0,1993061.1780925752,0.13118413166334605,0.30385301073956267,3.2910649710728594,79444.80048194458,0.0,0.0,0.0,164091.685368,0.30385301073956267,3.2910649710728594,79444.80048194458,0.0,0.0,0.0,164091.685368,0.0,16716.003949430004,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
2020-05,2020-05,488372.0,3888128.8213404375,168,1.0,2020-02-02,0.1256059205959213,0.7411129039460114,0.7411129842045553,1.3493220731626177,1.3493219270383057,361938.7911259215,361938.8303219471,0.09308816856565534,0.09308817864660364,50552.0,1034157.5335529548,0.04888230115804832,0.8755205791421053,1.1421776070413652,44259.31631679171,0.0,0.0,23859.054802,44176.815774,0.8755205791421053,1.1421776070413652,44259.31631679171,0.0,0.0,23859.054802,44176.815774,42098.0,182914.1031368055,0.2301517448794748,0.4388166934560925,2.2788558751584023,18473.305161114582,0.0,0.0,13569.177658,13619.177658,0.4388166934560925,2.2788558751584023,18473.305161114582,0.0,0.0,13569.177658,13619.177658,910.0,212087.41604711203,0.0042906836103743995,1.3758149213059518,0.7268419498247478,1251.9915783884162,0.0,0.0,897.00387,899.999999,1.3758149213059518,0.7268419498247478,1251.9915783884162,0.0,0.0,897.00387,899.999999,394812.0,2437195.797855793,0.16199437088614277,0.7546735653219271,1.32507622626668,297954.1796718807,0.0,0.0,175208.314913,310935.539784,0.7546736632561722,1.32507605431111,297954.21833749587,0.0,0.0,175208.354027,310935.578898,0.0,21773.970747771946,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
2020-06,2020-06,722961.5,4056531.386816628,168,1.0,2020-02-09,0.17822159649733307,1.2014470759880531,1.2014477311156018,0.8323296298154574,0.8323291759612814,868599.9802269369,868600.4538589321,0.21412381598964347,0.21412393274752112,64002.5,1045743.3311720024,0.06120287654932505,1.0073049880854437,0.9927479877774377,64470.037499938604,0.0,0.0,33223.42429,43502.398361,1.0073049880854437,0.9927479877774377,64470.037499938604,0.0,0.0,33223.42429,43502.398361,8310.0,186396.10908918644,0.04458247567830854,2.134516901648703,0.4684900828040289,17737.83545270072,0.0,0.0,7103.076507,8218.037421,2.134516901648703,0.4684900828040289,17737.83545270072,0.0,0.0,7103.076507,8218.037421,400.0,214139.796999493,0.0018679386345030813,0.9888006792410715,1.0113261661263464,395.5202716964286,0.0,0.0,160.0,160.0,0.9888006792410715,1.0113261661263464,395.5202716964286,0.0,0.0,160.0,160.0,649849.0,2583027.583570079,0.2515842278005504,1.2095058915667638,0.8267839015687843,785996.1941287699,0.0,0.0,357997.884541,514914.421734,1.209506615953734,0.8267834063987063,785996.664870918,0.0,0.0,357998.243135,514914.780328,400.0,27224.565985867182,0.014692612554692258,0.000983517857142857,1016.7583564827424,0.39340714285714284,0.0,0.0,0.0,0.0,0.000983517857142857,1016.7583564827424,0.39340714285714284,0.0,0.0,0.0,0.0
2020-07,2020-07,780201.12,4121847.7558642467,168,1.0,2020-02-16,0.189284312815773,1.287351737577308,1.2873554782152021,0.7767884804209914,0.7767862233253603,1004393.2674917618,1004396.1859416363,0.24367548899951208,0.24367619704358537,179872.0,1098976.7240291452,0.163672256260843,0.8221452575792725,1.2163300715793262,147880.91177129888,0.0,0.0,41504.150128,121206.079629,0.8221553841267596,1.216315089953629,147882.7332536485,0.0,0.034689,41504.759628,121206.689129,2959.0,183702.9364701388,0.016107526950071317,1.3938932036072444,0.7174150770031079,4124.529989473836,0.0,0.0,1328.6420090000001,1359.0,1.3938932036072444,0.7174150770031079,4124.529989473836,0.0,0.0,1328.6420090000001,1359.0,30.0,218046.3446185406,0.0001375854296135221,0.33126652180625904,3.018717359506824,9.937995654187771,0.0,0.0,2.962963,4.938271,0.33126652180625904,3.018717359506824,9.937995654187771,0.0,0.0,2.962963,4.938271,596308.12,2591787.660951031,0.23007599310091267,1.4293872626854358,0.6996004694495933,852355.2313638984,0.0,0.0,301659.430602,416288.739605,1.4293894381989305,0.6995994046661119,852356.5286402605,0.0,0.023344,301660.016613,416289.325616,1032.0,29334.08979539099,0.03518091091962734,0.021773520457690123,45.92734564643234,22.470273112336205,0.0,0.0,0.0,0.0,0.021773520457690123,45.92734564643234,22.470273112336205,0.0,0.0,0.0,0.0
2020-08,2020-08,643683.0,4282655.392872151,168,1.0,2020-02-23,0.15029997535438305,1.7222299793044586,1.7222331126365773,0.5806425460111088,0.5806414896233727,1108570.159768632,1108572.17664125,0.2588511234440398,0.25885159438378,109653.0,1156653.1821573775,0.09480196976199587,0.8515689970989644,1.1743029671191585,93377.09523889274,0.0,8148.856256,30341.43335,67326.2202,0.8515764372329409,1.1742927073573541,93377.91107190365,0.0,8149.070052,30341.647146,67326.433996,24195.0,187604.51980347215,0.12896810815296894,2.5948842657320115,0.38537364197932816,62783.22480938602,0.0,13531.530829,14257.313293,18303.865522,2.5948864082186622,0.38537332379280526,62783.276646850536,0.0,13531.556059,14257.338523,18303.890752,2821.0,219520.49342806442,0.012850736420763492,4.527852182785948,0.2208552663891754,12773.07100763916,0.0,2406.0658789999998,2801.0658789999998,2805.0,4.527852182785948,0.2208552663891754,12773.07100763916,0.0,2406.0658789999998,2801.0658789999998,2805.0,506436.0,2687907.393402132,0.18841274116925397,1.8543065658438767,0.5392851529622394,939087.5999797096,0.0,104525.525142,293946.188215,405877.359385,1.8543090437649585,0.5392844323131901,939088.8548881505,0.0,104525.967466,293946.630539,405877.801709,578.0,30969.804081105278,0.018663340539265428,0.9498852519631855,1.0527587389458246,549.0336756347212,0.0,0.0,408.35714399999995,478.000001,0.9498852519631855,1.0527587389458246,549.0336756347212,0.0,0.0,408.35714399999995,478.000001
2020-09,2020-09,759555.4,4301998.052458055,168,1.0,2020-03-01,0.17655875031510274,1.7011374191882869,1.7011457060471318,0.5878419866145552,0.5878391230364686,1292108.112886527,1292114.4072149114,0.300350696846143,0.30035215996358466,144039.0,1131375.3576501452,0.12731318481177414,2.07000621891179,0.4830903360887987,298161.6257658353,0.0,35013.201558,88791.161969,117078.936894,2.070009739296908,0.4830895145158382,298162.1328385873,0.0,35013.351978,88791.312389,117079.087314,2035.0,189322.97218442452,0.01074882765952804,2.2992732145347086,0.43492004068005663,4679.0209915781315,0.0,535.692837,1977.857146,2035.000003,2.2992732145347086,0.43492004068005663,4679.0209915781315,0.0,535.692837,1977.857146,2035.000003,19160.0,225328.82676139777,0.08503128638879683,1.629479406120738,0.6136929354514984,31220.82542127334,0.0,5467.723965,5992.414264,16824.06826,1.629479406120738,0.6136929354514984,31220.82542127334,0.0,5467.723965,5992.414264,16824.06826,594300.4,2724365.377495269,0.2181426929402505,1.611887554522199,0.6203906700529265,957945.4184075646,0.0,98597.86837,259525.701187,437362.011666,1.61189741917319,0.6203868733240742,957951.2809735946,0.0,98599.333866,259527.166683,437363.477162,21.0,31605.518366819564,0.0006644409294690271,4.815841033730159,0.2076480500489942,101.13266170833334,0.0,20.0,20.0,20.0,4.815841033730159,0.2076480500489942,101.13266170833334,0.0,20.0,20.0,20.0
2020-10,2020-10,702567.0,4359939.451267579,168,1.0,2020-03-08,0.16114145800711532,1.9687435689824786,1.9687527530587203,0.5079381671412077,0.5079357976497386,1383174.2630293132,1383180.715458206,0.31724620914796847,0.31724768908340445,148626.0,1138145.8576501452,0.1305860747117758,1.6170636595320145,0.618404843931379,240337.7034616052,0.0,17646.532406,71201.358357,96646.977705,1.6170677696436584,0.6184032721277741,240338.31433105835,0.0,17646.659903,71201.485854,96647.105202,744.0,196551.912660615,0.0037852595272611787,3.4921653566354074,0.28635528329147303,2598.1710253367432,0.0,330.648052,595.223873,643.047905,3.4921653566354074,0.28635528329147303,2598.1710253367432,0.0,330.648052,595.223873,643.047905,1561.0,225200.2077137787,0.006931609947642563,3.028317323459717,0.33021638526888086,4727.203341920618,0.0,655.889787,1144.499322,1212.03918,3.028317323459717,0.33021638526888086,4727.203341920618,0.0,655.889787,1144.499322,1212.03918,551632.0,2768065.1810666975,0.19928432457917192,2.058457928404517,0.48580055302616093,1135511.2639616407,0.0,123688.363566,322702.861215,418141.595682,2.0584683937361,0.4857980831976777,1135517.0369734324,0.0,123689.627416,322704.125065,418142.85953200003,4.0,31976.292176343373,0.00012509267734797815,0.00199325,501.6932145992726,0.007973,0.0,0.0,0.0,0.0,0.00199325,501.6932145992726,0.007973,0.0,0.0,0.0,0.0
2020-11,2020-11,865344.91,4455069.361981864,168,1.0,2020-03-15,0.19423825751952967,2.202592842971619,2.2025999422018767,0.4540103738150961,0.45400891048799735,1906002.5054679196,1906008.6487506884,0.42782779584379427,0.4278291747859093,164449.0,1194091.3338406214,0.13771894606342522,1.4827241974376475,0.6744342621022428,243832.5115444237,0.0,29073.261021,63265.532205,106941.454977,1.4827285893040028,0.6744322644169173,243833.23378245396,0.010552,29073.379762,63265.650946,106941.573718,1000.0,204724.2102796626,0.004884620136690011,3.5896547842474327,0.27857832022965656,3589.6547842474324,0.0,81.360824,1000.000005,1000.000005,3.5896547842474327,0.27857832022965656,3589.6547842474324,0.0,81.360824,1000.000005,1000.000005,450.0,226179.46366615966,0.0019895705503316556,3.331984276455027,0.30012146427771336,1499.3929244047622,0.0,50.0,450.0,450.0,3.331984276455027,0.30012146427771336,1499.3929244047622,0.0,50.0,450.0,450.0,698930.91,2795772.169161936,0.24999566048671,2.3708747821851692,0.4217852446337667,1657077.6690087323,0.0,184950.036588,368940.686438,545449.29601,2.370882418372529,0.4217838861390862,1657083.0061761125,0.16431600000000002,184951.042966,368941.692816,545450.302388,515.0,34302.18503348623,0.01501362083777609,0.006532519648636154,153.08028965649999,3.3642476190476196,0.0,0.0,0.0,0.0,0.006532519648636154,153.08028965649999,3.3642476190476196,0.0,0.0,0.0,0.0
2020-12,2020-12,1224406.22,4797568.0643628165,168,1.0,2020-03-22,0.2552139341378199,1.6501118691289904,1.6501193116364623,0.6060195182571766,0.606016784936767,2020407.2362573617,2020416.3489098027,0.421131541887921,0.4211334413195328,305141.0,1307021.369554907,0.23346290053689994,0.8120025903400174,1.2315231649461373,247775.28241894324,4820.955999,12413.117112,65460.894868999996,201243.665437,0.8120073651838581,1.2315159232251247,247776.73941956763,4821.135487,12413.2966,65461.074357,201243.844925,1516.0,212412.1983749007,0.007137066569615313,2.4251390179924135,0.4123474953727903,3676.510751276499,43.216353,794.702261,809.9083400000001,809.9083400000001,2.4251390179924135,0.4123474953727903,3676.510751276499,43.216353,794.702261,809.9083400000001,809.9083400000001,125.0,228796.9339042549,0.0005463359926506226,6.655862477630662,0.15024348885825803,831.9828097038327,84.440743,99.82715300000001,110.0,120.0,6.655862477630662,0.15024348885825803,831.9828097038327,84.440743,99.82715300000001,110.0,120.0,917423.22,3012595.19892384,0.304529204696244,1.927171697603201,0.5188951255581884,1768032.0643079947,68604.373832,163483.638271,400234.895152,669615.374465,1.9271798664482935,0.5188929260883964,1768039.5585961633,68605.499199,163484.763638,400236.020519,669616.499832,201.0,36742.3636049148,0.00547052449214545,0.4553345419331912,2.196187435625573,91.52224292857142,0.0,0.0,0.0,201.0,0.4553345419331912,2.196187435625573,91.52224292857142,0.0,0.0,0.0,201.0
